iter	Passed	Remaining
472	716	798
473	717	796
474	718	794
475	720	793
476	722	791
477	723	790
478	724	788
479	725	786
480	726	784
481	728	783
482	730	781
483	731	780
484	733	778
485	734	777
486	736	775
487	738	774
488	739	772
489	740	770
490	740	768
491	743	767
492	744	766
493	745	763
494	748	763
495	753	765
496	755	764
497	756	762
498	759	762
499	760	760
500	761	758
501	763	757
502	764	755
503	766	753
504	767	751
505	768	750
506	769	748
507	771	747
508	773	745
509	774	743
510	775	742
511	776	740
512	777	738
513	779	737
514	781	735
515	782	733
516	785	733
517	786	731
518	787	730
519	788	728
520	789	726
521	791	724
522	792	722
523	793	721
524	795	719
525	796	717
526	799	717
527	801	716
528	802	714
529	804	713
530	805	711
531	806	709
532	808	708
533	809	706
534	813	706
535	814	705
536	815	703
537	816	701
538	817	699
539	818	697
540	819	695
541	820	693
542	821	691
543	822	689
544	825	688
545	826	686
546	827	685
547	828	683
548	829	681
549	830	679
550	831	677
551	832	675
552	833	673
553	834	671
554	835	669
555	835	667
556	837	665
557	838	664
558	840	662
559	841	661
560	842	659
561	843	657
562	844	655
563	845	653
564	846	651
565	847	649
566	848	647
567	849	645
568	850	644
569	851	642
570	853	641
571	855	640
572	858	639
573	859	637
574	860	635
575	861	634
576	863	633
577	866	632
578	867	631
579	868	629
580	869	627
581	870	625
582	871	623
583	872	621
584	873	619
585	874	617
586	875	616
587	876	614
588	878	613
589	879	611
590	880	609
591	881	607
592	882	605
593	883	604
594	885	602
595	886	600
596	887	598
597	888	596
598	889	595
599	890	593
600	893	593
601	894	591
602	895	589
603	896	587
604	897	585
605	898	584
606	899	582
607	900	580
608	901	578
609	902	576
610	903	575
611	904	573
612	907	572
613	908	571
614	909	569
615	910	567
616	911	565
617	912	563
618	913	562
619	914	560
620	915	558
621	916	556
622	917	554
623	918	553
624	919	551
625	921	550
626	922	549
627	923	547
628	924	545
629	925	543
630	926	541
631	927	540
632	928	538
633	929	536
634	930	534
635	931	533
636	932	531
637	933	529
638	933	527
639	935	526
640	936	524
641	937	522
642	938	521
643	939	519
644	940	517
645	941	515
646	941	513
647	942	512
648	943	510
649	944	508
650	945	506
651	946	505
652	947	503
653	948	501
654	950	500
655	951	498
656	952	497
657	953	495
658	954	493
659	954	491
660	955	490
661	956	488
662	958	486
663	959	485
664	960	483
665	960	481
666	961	480
667	962	478
668	964	477
669	965	475
670	966	473
671	967	472
672	968	470
673	969	469
674	970	467
675	972	466
676	973	464
677	974	462
678	974	460
679	976	459
680	976	457
681	979	456
682	980	455
683	982	453
684	983	452
685	984	450
686	985	448
687	986	447
688	987	445
689	988	444
690	989	442
691	990	440
692	990	438
693	992	437
694	994	436
695	995	434
696	996	433
697	996	431
698	997	429
699	998	428
700	999	426
701	1000	424
702	1001	423
703	1002	421
704	1003	419
705	1004	418
706	1005	416
707	1006	415
708	1008	413
709	1009	412
710	1009	410
711	1010	408
712	1011	407
713	1012	405
714	1013	404
715	1014	402
716	1015	400
717	1016	399
718	1017	397
719	1018	396
720	1019	394
721	1020	392
722	1022	391
723	1023	390
724	1024	388
725	1025	386
726	1026	385
727	1026	383
728	1027	382
729	1028	380
730	1029	378
731	1031	377
732	1032	375
733	1032	374
734	1034	372
735	1035	371
736	1037	370
737	1038	368
738	1039	367
739	1040	365
740	1041	363
741	1042	362
742	1043	360
743	1044	359
744	1045	357
745	1045	356
746	1046	354
747	1047	353
748	1049	351
749	1050	350
750	1052	348
751	1053	347
752	1054	345
753	1055	344
754	1056	342
755	1057	341
756	1058	339
757	1059	338
758	1060	336
759	1061	335
760	1062	333
761	1064	332
762	1066	331
763	1067	329
764	1069	328
765	1070	327
766	1072	325
767	1073	324
768	1074	322
769	1075	321
770	1076	319
771	1079	318
772	1081	317
773	1085	316
774	1086	315
775	1087	313
776	1088	312
777	1089	311
778	1091	309
779	1092	308
780	1094	306
781	1096	305
782	1099	304
783	1101	303
784	1102	301
785	1103	300
786	1104	298
787	1105	297
788	1106	295
789	1112	295
790	1117	295
791	1118	293
792	1119	292
793	1120	290
794	1123	289
795	1125	288
796	1126	286
797	1127	285
798	1128	283
799	1131	282
800	1132	281
801	1133	279
802	1135	278
803	1138	277
804	1139	276
805	1140	274
806	1141	272
807	1142	271
808	1143	269
809	1146	268
810	1148	267
811	1149	266
812	1152	265
813	1153	263
814	1154	262
815	1155	260
816	1157	259
817	1158	257
818	1159	256
819	1161	254
820	1164	253
821	1168	252
822	1170	251
823	1171	250
824	1172	248
825	1173	247
826	1174	245
827	1175	244
828	1176	242
829	1179	241
830	1183	240
831	1184	239
832	1186	237
833	1187	236
834	1188	234
835	1189	233
836	1190	231
837	1191	230
838	1192	228
839	1193	227
